Date,Name,Year,Letterboxd URI,Rating
2023-08-05,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/hN1A,5
2023-08-05,Guy Ritchie's The Covenant,2023,https://boxd.it/xjcK,3
2023-08-05,Barbie,2023,https://boxd.it/bCLK,4
2023-08-05,John Wick: Chapter 4,2023,https://boxd.it/mh48,3
2023-08-05,Babylon,2022,https://boxd.it/mM02,3.5
2023-08-05,Avatar: The Way of Water,2022,https://boxd.it/2E2E,2.5
2023-08-05,Cyberpunk: Edgerunners,2022,https://boxd.it/COP4,4.5
2023-08-05,TÁR,2022,https://boxd.it/uNIA,2
2023-08-05,The Menu,2022,https://boxd.it/lScm,4.5
2023-08-05,Glass Onion,2022,https://boxd.it/oCkK,3
2023-08-05,All Quiet on the Western Front,2022,https://boxd.it/H08,4
2023-08-05,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4
2023-08-05,Decision to Leave,2022,https://boxd.it/qp9e,4
2023-08-05,Top Gun: Maverick,2022,https://boxd.it/cjr4,4
2023-08-05,The Northman,2022,https://boxd.it/nK2s,3
2023-08-05,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4.5
2023-08-05,The Batman,2022,https://boxd.it/eDGs,4
2023-08-05,No Time to Die,2021,https://boxd.it/cPX2,4
2023-08-05,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,4
2023-08-05,Last Night in Soho,2021,https://boxd.it/lbJC,3.5
2023-08-05,Dune,2021,https://boxd.it/fA7G,5
2023-08-05,C'mon C'mon,2021,https://boxd.it/nrI0,4
2023-08-05,Drive My Car,2021,https://boxd.it/sv94,4
2023-08-05,The Worst Person in the World,2021,https://boxd.it/oyws,5
2023-08-05,Malcolm & Marie,2021,https://boxd.it/r5cO,2.5
2023-08-05,Another Round,2020,https://boxd.it/lkba,5
2023-08-05,Knives Out,2019,https://boxd.it/jWEA,4.5
2023-08-05,The Champion,2020,https://boxd.it/vUkW,3
2023-08-05,Tenet,2020,https://boxd.it/leq4,3
2023-08-05,Mank,2020,https://boxd.it/mIuC,3
2023-08-05,The Queen's Gambit,2020,https://boxd.it/s1Ym,4.5
2023-08-05,Amateurs,2020,https://boxd.it/vGZQ,3
2023-08-05,A Life of Speed: The Juan Manuel Fangio Story,2020,https://boxd.it/pb7c,3
2023-08-05,1917,2019,https://boxd.it/jj4y,4
2023-08-05,American Hustle,2013,https://boxd.it/5dz8,3
2023-08-05,Rocketman,2019,https://boxd.it/iehK,4
2023-08-05,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,3.5
2023-08-05,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2023-08-05,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,3
2023-08-05,Chernobyl,2019,https://boxd.it/mkbG,4.5
2023-08-05,"Love, Death & Robots: Three Robots",2019,https://boxd.it/lECK,4.5
2023-08-05,Vice,2018,https://boxd.it/fcFY,3
2023-08-05,The Mule,2018,https://boxd.it/idcY,3.5
2023-08-05,Uncut Gems,2019,https://boxd.it/gXGc,4
2023-08-05,Marriage Story,2019,https://boxd.it/hJAw,4
2023-08-05,The Lighthouse,2019,https://boxd.it/icFU,3.5
2023-08-05,Bohemian Rhapsody,2018,https://boxd.it/f1TK,3
2023-08-05,The King,2019,https://boxd.it/ieZs,3
2023-08-05,Bullet Train,2022,https://boxd.it/qW26,5
2023-08-06,Extraction 2,2023,https://boxd.it/q4Zo,3.5
2023-08-08,The Two Popes,2019,https://boxd.it/k8Xk,3.5
2023-08-08,Joker,2019,https://boxd.it/h4cS,4
2023-08-08,Black Bird,2022,https://boxd.it/BCSe,4.5
2023-08-08,A Quiet Place,2018,https://boxd.it/fVJQ,3.5
2023-08-08,Elvis,2022,https://boxd.it/mK4w,2
2023-08-08,The Sisterhood,2019,https://boxd.it/nhqK,1
2023-08-08,Venom,2018,https://boxd.it/b8wA,2
2023-08-08,Green Book,2018,https://boxd.it/hErk,4
2023-08-08,mid90s,2018,https://boxd.it/fxIa,3
2023-08-08,A Star Is Born,2018,https://boxd.it/aXgc,2.5
2023-08-08,The Favourite,2018,https://boxd.it/d2hI,3
2023-08-08,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,2.5
2023-08-08,First Man,2018,https://boxd.it/cPym,3
2023-08-08,Sicario: Day of the Soldado,2018,https://boxd.it/e4fG,3
2023-08-08,Incredibles 2,2018,https://boxd.it/7IPg,3
2023-08-08,The Man Who Killed Don Quixote,2018,https://boxd.it/9rkY,2.5
2023-08-08,BlacKkKlansman,2018,https://boxd.it/hxL8,3.5
2023-08-08,Cold War,2018,https://boxd.it/fEoc,3.5
2023-08-08,The Titan,2018,https://boxd.it/h7K4,0.5
2023-08-08,Utøya: July 22,2018,https://boxd.it/i3a4,4
2023-08-08,Fanatyk,2017,https://boxd.it/hP0O,3
2023-08-08,Bright,2017,https://boxd.it/e1H8,0.5
2023-08-08,Phantom Thread,2017,https://boxd.it/e4uc,3.5
2023-08-08,Wheelman,2017,https://boxd.it/gSIM,0.5
2023-08-08,Blade Runner 2049,2017,https://boxd.it/b8wK,4
2023-08-08,Lady Bird,2017,https://boxd.it/dGNE,4
2023-08-08,Williams,2017,https://boxd.it/gEqE,3.5
2023-08-08,Dunkirk,2017,https://boxd.it/d0Y6,3.5
2023-08-08,Loving Vincent,2017,https://boxd.it/biIQ,3
2023-08-08,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/5a9m,2.5
2023-08-08,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,4.5
2023-08-08,Going in Style,2017,https://boxd.it/bSKS,3
2023-08-08,Baby Driver,2017,https://boxd.it/bhF2,3.5
2023-08-08,The Lego Batman Movie,2017,https://boxd.it/azp0,3
2023-08-08,John Wick: Chapter 2,2017,https://boxd.it/ayGu,3.5
2023-08-08,Get Out,2017,https://boxd.it/eOCm,4.5
2023-08-08,Icarus,2017,https://boxd.it/fmje,2.5
2023-08-08,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/7FPC,2.5
2023-08-08,Doctor Strange,2016,https://boxd.it/8MH8,2.5
2023-08-08,Split,2016,https://boxd.it/dgSy,3
2023-08-08,The Invisible Guest,2016,https://boxd.it/euce,4
2023-08-08,Jackie,2016,https://boxd.it/d6bu,3
2023-08-08,Moonlight,2016,https://boxd.it/d6bE,3
2023-08-08,Nocturnal Animals,2016,https://boxd.it/bkFu,4
2023-08-08,Arrival,2016,https://boxd.it/aNGk,3.5
2023-08-08,Suicide Squad,2016,https://boxd.it/9row,1.5
2023-08-08,Your Name.,2016,https://boxd.it/cUqs,4
2023-08-08,Warcraft,2016,https://boxd.it/2czK,1.5
2023-08-08,Don't Breathe,2016,https://boxd.it/9yzw,3
2023-08-08,Perfect Strangers,2016,https://boxd.it/dgVi,3.5
2023-08-08,Manchester by the Sea,2016,https://boxd.it/b2L0,5
2023-08-08,The Revenant,2015,https://boxd.it/8H5e,3.5
2023-08-08,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3
2023-08-08,Creed,2015,https://boxd.it/a2qk,2.5
2023-08-08,BPM (Beats per Minute),2017,https://boxd.it/g796,3
2023-08-08,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,3
2023-08-08,Intrusion,2021,https://boxd.it/txCa,1
2023-08-08,The Power of the Dog,2021,https://boxd.it/m99E,3
2023-08-08,Don't Look Up,2021,https://boxd.it/o0Hc,3
2023-08-15,Prisoners,2013,https://boxd.it/4E5i,4.5
2023-09-16,Cube,1997,https://boxd.it/2aoU,2.5
2023-09-19,The Others,2001,https://boxd.it/27Po,3
2023-09-26,Deadpool,2016,https://boxd.it/9fOC,4
2023-09-26,X-Men: First Class,2011,https://boxd.it/FOA,4
2023-09-26,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,3.5
2023-09-28,X-Men Origins: Wolverine,2009,https://boxd.it/27ug,2
2023-09-28,X-Men,2000,https://boxd.it/1a7s,3
2023-09-28,X2,2003,https://boxd.it/1a7i,3
2023-09-28,X-Men: The Last Stand,2006,https://boxd.it/1a5Q,2.5
2023-09-28,The Wolverine,2013,https://boxd.it/2CWU,3
2023-09-29,X-Men: Apocalypse,2016,https://boxd.it/7eJi,2.5
2023-09-30,Dark Phoenix,2019,https://boxd.it/anyO,1.5
2023-09-30,Deadpool 2,2018,https://boxd.it/dlLM,4
2023-10-03,The Last Duel,2021,https://boxd.it/mQbe,2.5
2023-10-03,Sweat,2020,https://boxd.it/qEtI,3
2023-10-03,Corpus Christi,2019,https://boxd.it/gULy,4
2023-10-03,Ford v Ferrari,2019,https://boxd.it/ce74,2.5
2023-10-03,Logan,2017,https://boxd.it/7Piy,2
2023-10-14,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2023-10-15,Black Swan,2010,https://boxd.it/Sw0,4
2023-10-16,Paperman,2012,https://boxd.it/4uYW,3.5
2023-11-01,Little Rose,2010,https://boxd.it/OCy,2.5
2023-11-03,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,4
2023-11-05,Murder on the Orient Express,2017,https://boxd.it/dHjA,2.5
2023-11-05,Death to 2021,2021,https://boxd.it/yj28,2
2023-11-05,Death to 2020,2020,https://boxd.it/t4EQ,2.5
2023-11-05,Out of Tune,2019,https://boxd.it/l3N2,2.5
